grid_id,churn_users,churn_prob,downgrade_users
49QGF-77-45-50,1,0.09,2
49QGF-78-45-50,3,0.24,5
49QGF-79-45-50,3,0.26,3
49QGF-80-45-50,4,0.24,6
49QGF-81-45-50,3,0.23,3
49QGF-82-45-50,2,0.24,3
49QGF-84-45-50,2,0.17,3
49QGF-85-45-50,1,0.13,1
49QGF-86-45-50,2,0.47,2
49QGF-87-45-50,2,0.18,3
49QGF-88-45-50,3,0.23,3
49QGF-89-45-50,1,0.2,1
49QGF-90-45-50,2,0.06,3
49QGF-91-45-50,2,0.25,3
49QGF-92-45-50,5,0.27,6
49QGF-93-45-50,2,0.35,3
49QGF-94-45-50,2,0.09,2
49QGF-95-45-50,1,0.24,1
49QGF-96-45-50,9,0.38,11
49QGF-97-45-50,1,0.27,1
49QGF-98-45-50,2,0.15,3
49QGF-99-45-50,4,0.17,7
49QGF-100-45-50,3,0.16,4
49QGF-101-45-50,1,0.06,2
49QGF-102-45-50,6,0.33,8
49QGF-103-45-50,2,0.16,2
49QGF-104-45-50,1,0.2,1
49QGF-105-45-50,7,0.38,12
49QGF-106-45-50,3,0.17,4
49QGF-107-45-50,1,0.06,2
49QGF-108-45-50,2,0.08,3
49QGF-111-45-50,2,0.1,3
49QGF-113-45-50,1,0.09,1
49QGF-115-45-50,1,0.1,2
49QGF-116-45-50,1,0.04,1
49QGF-117-45-50,1,0.05,2
49QGF-119-45-50,9,0.34,13
49QGF-120-45-50,6,0.28,9
49QGF-121-45-50,4,0.19,6
49QGF-122-45-50,1,0.28,2
49QGF-123-45-50,7,0.27,7
49QGF-124-45-50,1,0.17,1
49QGF-125-45-50,3,0.24,5
49QGF-126-45-50,7,0.28,12
49QGF-127-45-50,9,0.33,14
49QGF-128-45-50,1,0.15,2
49QGF-129-45-50,2,0.1,2
49QGF-130-45-50,3,0.26,5
49QGF-131-45-50,3,0.16,4
49QGF-132-45-50,2,0.2,2
49QGF-133-45-50,6,0.27,11
49QGF-134-45-50,3,0.11,5
49QGF-135-45-50,5,0.23,6
49QGF-136-45-50,4,0.16,4
49QGF-44-46-50,1,0.05,1
49QGF-45-46-50,3,0.24,5
49QGF-46-46-50,2,0.25,3
49QGF-47-46-50,3,0.17,5
49QGF-49-46-50,3,0.18,4
49QGF-50-46-50,2,0.05,2
49QGF-51-46-50,1,0.04,1
49QGF-53-46-50,1,0.2,1
49QGF-55-46-50,1,0.05,1
49QGF-56-46-50,1,0.08,1
49QGF-58-46-50,1,0.07,1
49QGF-60-46-50,1,0.07,2
49QGF-64-46-50,1,0.13,1
49QGF-67-46-50,9,0.37,14
49QGF-68-46-50,5,0.3,5
49QGF-69-46-50,3,0.21,4
49QGF-70-46-50,2,0.16,3
49QGF-71-46-50,2,0.13,3
49QGF-72-46-50,1,0.13,1
49QGF-73-46-50,3,0.25,4
49QGF-74-46-50,2,0.19,3
49QGF-75-46-50,2,0.25,2
49QGF-76-46-50,3,0.25,5
49QGF-77-46-50,3,0.12,5
49QGF-78-46-50,6,0.25,9
49QGF-79-46-50,2,0.29,3
49QGF-80-46-50,1,0.14,1
49QGF-81-46-50,8,0.32,10
49QGF-82-46-50,8,0.4,10
49QGF-83-46-50,2,0.15,2
49QGF-84-46-50,2,0.12,3
49QGF-85-46-50,1,0.11,1
49QGF-86-46-50,5,0.33,7
49QGF-87-46-50,3,0.3,5
49QGF-88-46-50,3,0.13,5
49QGF-89-46-50,3,0.32,5
49QGF-90-46-50,3,0.14,5
49QGF-91-46-50,1,0.3,1
49QGF-92-46-50,2,0.17,3
49QGF-93-46-50,13,0.45,23
49QGF-94-46-50,2,0.09,3
49QGF-95-46-50,1,0.06,1
49QGF-96-46-50,9,0.34,10
49QGF-97-46-50,2,0.38,3
49QGF-98-46-50,9,0.44,10
49QGF-100-46-50,2,0.25,4
49QGF-101-46-50,3,0.14,5
49QGF-102-46-50,6,0.28,8
49QGF-103-46-50,3,0.27,4
49QGF-104-46-50,6,0.4,7
49QGF-106-46-50,1,0.25,1
49QGF-107-46-50,1,0.06,1
49QGF-109-46-50,1,0.08,1
49QGF-110-46-50,1,0.06,1
49QGF-116-46-50,1,0.07,1
49QGF-117-46-50,1,0.05,2
49QGF-118-46-50,2,0.09,2
49QGF-119-46-50,6,0.39,9
49QGF-120-46-50,4,0.17,4
49QGF-121-46-50,1,0.3,1
49QGF-122-46-50,3,0.28,4
49QGF-123-46-50,1,0.27,2
49QGF-124-46-50,1,0.23,2
49QGF-125-46-50,1,0.26,2
49QGF-126-46-50,3,0.26,4
49QGF-127-46-50,2,0.29,3
49QGF-128-46-50,1,0.25,2
49QGF-129-46-50,4,0.13,7
49QGF-130-46-50,1,0.14,2
49QGF-131-46-50,4,0.3,7
49QGF-132-46-50,2,0.17,3
49QGF-133-46-50,1,0.17,2
49QGF-134-46-50,6,0.23,8
49QGF-135-46-50,2,0.31,2
49QGF-136-46-50,2,0.21,2
49QGF-43-47-50,1,0.08,1
49QGF-44-47-50,1,0.05,1
49QGF-45-47-50,2,0.07,3
49QGF-46-47-50,1,0.08,1
49QGF-50-47-50,3,0.18,4
49QGF-52-47-50,2,0.11,2
49QGF-53-47-50,2,0.13,4
49QGF-56-47-50,1,0.06,2
49QGF-57-47-50,1,0.03,1
49QGF-59-47-50,1,0.11,1
49QGF-60-47-50,1,0.04,1
49QGF-61-47-50,1,0.06,1
49QGF-63-47-50,1,0.04,1
49QGF-64-47-50,1,0.12,1
49QGF-65-47-50,1,0.05,2
49QGF-67-47-50,2,0.2,2
49QGF-68-47-50,2,0.46,2
49QGF-69-47-50,7,0.29,10
49QGF-70-47-50,5,0.23,9
49QGF-71-47-50,6,0.28,7
49QGF-73-47-50,6,0.24,9
49QGF-74-47-50,3,0.15,5
49QGF-75-47-50,2,0.13,2
49QGF-76-47-50,3,0.27,3
49QGF-77-47-50,3,0.22,4
49QGF-78-47-50,1,0.3,1
49QGF-79-47-50,1,0.32,2
49QGF-80-47-50,6,0.27,9
49QGF-81-47-50,10,0.35,17
49QGF-82-47-50,8,0.33,9
49QGF-83-47-50,1,0.27,1
49QGF-84-47-50,3,0.34,4
49QGF-85-47-50,6,0.35,10
49QGF-86-47-50,1,0.16,1
49QGF-87-47-50,7,0.28,8
49QGF-88-47-50,2,0.13,3
49QGF-89-47-50,3,0.17,3
49QGF-90-47-50,4,0.18,5
49QGF-91-47-50,4,0.15,7
49QGF-92-47-50,6,0.43,10
49QGF-93-47-50,1,0.08,1
49QGF-94-47-50,2,0.28,3
49QGF-95-47-50,2,0.1,3
49QGF-96-47-50,3,0.26,4
49QGF-97-47-50,2,0.13,3
49QGF-99-47-50,5,0.26,8
49QGF-100-47-50,2,0.3,3
49QGF-101-47-50,2,0.16,2
49QGF-102-47-50,7,0.29,12
49QGF-103-47-50,4,0.15,7
49QGF-104-47-50,2,0.17,3
49QGF-105-47-50,9,0.41,12
49QGF-106-47-50,3,0.35,3
49QGF-107-47-50,1,0.03,2
49QGF-108-47-50,1,0.06,2
49QGF-109-47-50,1,0.08,1
49QGF-112-47-50,2,0.07,3
49QGF-119-47-50,5,0.25,7
49QGF-120-47-50,4,0.29,5
49QGF-121-47-50,2,0.13,3
49QGF-122-47-50,6,0.25,6
49QGF-123-47-50,3,0.15,5
49QGF-124-47-50,2,0.23,4
49QGF-125-47-50,1,0.27,2
49QGF-126-47-50,3,0.23,4
49QGF-127-47-50,3,0.27,4
49QGF-128-47-50,4,0.22,5
49QGF-129-47-50,8,0.28,14
49QGF-130-47-50,2,0.13,4
49QGF-132-47-50,1,0.13,1
49QGF-133-47-50,6,0.27,7
49QGF-134-47-50,5,0.24,6
49QGF-135-47-50,6,0.27,8
49QGF-136-47-50,2,0.09,3
49QGF-43-48-50,1,0.05,2
49QGF-44-48-50,1,0.06,2
49QGF-47-48-50,4,0.17,7
49QGF-48-48-50,2,0.09,4
49QGF-49-48-50,2,0.16,2
49QGF-50-48-50,4,0.14,5
49QGF-52-48-50,1,0.05,1
49QGF-55-48-50,1,0.03,1
49QGF-56-48-50,1,0.05,2
49QGF-57-48-50,2,0.12,2
49QGF-58-48-50,2,0.16,3
49QGF-60-48-50,4,0.19,5
49QGF-63-48-50,3,0.2,5
49QGF-64-48-50,1,0.04,2
49QGF-67-48-50,3,0.1,3
49QGF-68-48-50,4,0.26,4
49QGF-69-48-50,5,0.19,8
49QGF-70-48-50,7,0.31,9
49QGF-71-48-50,4,0.15,6
49QGF-72-48-50,1,0.23,2
49QGF-73-48-50,6,0.29,8
49QGF-74-48-50,2,0.11,2
49QGF-75-48-50,4,0.15,5
49QGF-76-48-50,2,0.13,2
49QGF-77-48-50,3,0.26,5
49QGF-78-48-50,4,0.14,6
49QGF-79-48-50,4,0.36,5
49QGF-80-48-50,4,0.17,6
49QGF-81-48-50,1,0.11,2
49QGF-82-48-50,4,0.17,5
49QGF-83-48-50,3,0.11,4
49QGF-84-48-50,8,0.33,14
49QGF-85-48-50,1,0.19,2
49QGF-86-48-50,1,0.15,1
49QGF-87-48-50,5,0.3,5
49QGF-88-48-50,1,0.06,2
49QGF-89-48-50,11,0.39,11
49QGF-90-48-50,3,0.11,4
49QGF-91-48-50,4,0.33,7
49QGF-92-48-50,4,0.13,7
49QGF-93-48-50,5,0.31,8
49QGF-94-48-50,2,0.28,2
49QGF-95-48-50,11,0.41,14
49QGF-96-48-50,1,0.21,2
49QGF-97-48-50,2,0.09,2
49QGF-98-48-50,2,0.36,3
49QGF-99-48-50,4,0.35,5
49QGF-100-48-50,3,0.11,5
49QGF-101-48-50,6,0.32,9
49QGF-102-48-50,3,0.26,4
49QGF-103-48-50,1,0.13,2
49QGF-104-48-50,11,0.38,13
49QGF-105-48-50,6,0.21,9
49QGF-106-48-50,3,0.11,4
49QGF-107-48-50,1,0.08,2
49QGF-108-48-50,3,0.11,4
49QGF-110-48-50,1,0.05,1
49QGF-111-48-50,1,0.04,1
49QGF-112-48-50,1,0.06,1
49QGF-114-48-50,1,0.05,1
49QGF-115-48-50,1,0.08,2
49QGF-117-48-50,1,0.03,2
49QGF-118-48-50,3,0.4,5
49QGF-119-48-50,3,0.31,4
49QGF-120-48-50,3,0.27,4
49QGF-121-48-50,2,0.5,2
49QGF-122-48-50,11,0.36,18
49QGF-123-48-50,3,0.3,5
49QGF-124-48-50,3,0.23,4
49QGF-125-48-50,1,0.32,1
49QGF-126-48-50,6,0.35,11
49QGF-127-48-50,8,0.29,8
49QGF-128-48-50,9,0.36,16
49QGF-129-48-50,2,0.17,3
49QGF-130-48-50,1,0.31,1
49QGF-131-48-50,9,0.31,15
49QGF-132-48-50,1,0.22,2
49QGF-133-48-50,3,0.29,4
49QGF-134-48-50,1,0.19,1
49QGF-135-48-50,2,0.13,3
49QGF-136-48-50,3,0.11,4
49QGF-43-49-50,4,0.15,6
49QGF-48-49-50,3,0.12,3
49QGF-49-49-50,1,0.05,1
49QGF-50-49-50,3,0.12,5
49QGF-51-49-50,2,0.15,3
49QGF-52-49-50,2,0.1,2
49QGF-54-49-50,1,0.03,2
49QGF-58-49-50,2,0.08,4
49QGF-59-49-50,1,0.03,1
49QGF-60-49-50,1,0.04,2
49QGF-62-49-50,2,0.08,4
49QGF-63-49-50,1,0.06,1
49QGF-66-49-50,2,0.09,2
49QGF-67-49-50,3,0.16,3
49QGF-68-49-50,4,0.3,6
49QGF-69-49-50,4,0.17,6
49QGF-70-49-50,7,0.24,10
49QGF-71-49-50,5,0.28,8
49QGF-72-49-50,3,0.12,4
49QGF-73-49-50,5,0.19,7
49QGF-74-49-50,4,0.28,6
49QGF-75-49-50,9,0.29,9
49QGF-76-49-50,2,0.12,3
49QGF-77-49-50,1,0.29,1
49QGF-78-49-50,4,0.13,5
49QGF-79-49-50,7,0.35,9
49QGF-80-49-50,2,0.41,2
49QGF-81-49-50,3,0.27,4
49QGF-82-49-50,3,0.12,5
49QGF-83-49-50,9,0.37,14
49QGF-84-49-50,4,0.32,6
49QGF-85-49-50,3,0.12,4
49QGF-86-49-50,2,0.12,3
49QGF-87-49-50,4,0.15,6
49QGF-88-49-50,8,0.36,11
49QGF-89-49-50,7,0.33,10
49QGF-90-49-50,4,0.25,5
49QGF-91-49-50,5,0.3,6
49QGF-92-49-50,3,0.33,5
49QGF-93-49-50,5,0.2,6
49QGF-94-49-50,5,0.19,6
49QGF-95-49-50,4,0.25,4
49QGF-96-49-50,2,0.08,2
49QGF-97-49-50,4,0.2,6
49QGF-98-49-50,3,0.38,4
49QGF-99-49-50,5,0.37,7
49QGF-100-49-50,2,0.09,3
49QGF-101-49-50,5,0.28,7
49QGF-102-49-50,1,0.14,1
49QGF-103-49-50,4,0.15,5
49QGF-104-49-50,2,0.11,3
49QGF-105-49-50,7,0.26,11
49QGF-106-49-50,6,0.23,10
49QGF-107-49-50,1,0.04,1
49QGF-109-49-50,1,0.05,1
49QGF-111-49-50,1,0.1,2
49QGF-114-49-50,1,0.07,1
49QGF-115-49-50,4,0.14,6
49QGF-116-49-50,1,0.04,2
49QGF-118-49-50,4,0.29,5
49QGF-119-49-50,4,0.4,6
49QGF-120-49-50,9,0.41,11
49QGF-121-49-50,3,0.34,4
49QGF-122-49-50,6,0.37,6
49QGF-123-49-50,7,0.34,8
49QGF-124-49-50,1,0.16,2
49QGF-125-49-50,7,0.36,8
49QGF-126-49-50,8,0.42,10
49QGF-127-49-50,2,0.36,3
49QGF-128-49-50,3,0.41,3
49QGF-129-49-50,3,0.21,4
49QGF-130-49-50,9,0.32,13
49QGF-131-49-50,2,0.26,3
49QGF-132-49-50,2,0.16,2
49QGF-134-49-50,5,0.31,5
49QGF-135-49-50,6,0.21,9
49QGF-136-49-50,5,0.24,8
49QGF-45-50-50,2,0.1,2
49QGF-46-50-50,1,0.05,1
49QGF-47-50-50,2,0.14,3
49QGF-50-50-50,5,0.18,5
49QGF-51-50-50,3,0.12,4
49QGF-52-50-50,2,0.07,3
49QGF-54-50-50,1,0.08,2
49QGF-56-50-50,2,0.07,4
49QGF-57-50-50,2,0.08,3
49QGF-60-50-50,1,0.06,1
49QGF-61-50-50,1,0.09,1
49QGF-62-50-50,1,0.05,2
49QGF-63-50-50,4,0.13,6
49QGF-64-50-50,1,0.07,2
49QGF-67-50-50,5,0.27,8
49QGF-68-50-50,2,0.24,2
49QGF-70-50-50,4,0.29,4
49QGF-71-50-50,1,0.34,1
49QGF-72-50-50,7,0.26,7
49QGF-73-50-50,7,0.24,8
49QGF-74-50-50,6,0.26,10
49QGF-75-50-50,3,0.36,4
49QGF-76-50-50,7,0.27,8
49QGF-77-50-50,4,0.4,4
49QGF-78-50-50,3,0.25,4
49QGF-79-50-50,1,0.28,1
49QGF-80-50-50,5,0.22,6
49QGF-81-50-50,2,0.38,3
49QGF-82-50-50,5,0.36,6
49QGF-83-50-50,2,0.1,3
49QGF-84-50-50,2,0.17,3
49QGF-85-50-50,1,0.12,1
49QGF-86-50-50,2,0.18,4
49QGF-87-50-50,2,0.25,2
49QGF-88-50-50,6,0.21,9
49QGF-89-50-50,4,0.24,6
49QGF-90-50-50,5,0.24,7
49QGF-91-50-50,8,0.41,11
49QGF-92-50-50,3,0.11,5
49QGF-93-50-50,2,0.15,2
49QGF-94-50-50,7,0.29,9
49QGF-95-50-50,6,0.19,9
49QGF-96-50-50,1,0.31,1
49QGF-97-50-50,3,0.12,4
49QGF-98-50-50,10,0.35,12
49QGF-99-50-50,9,0.36,16
49QGF-100-50-50,2,0.08,2
49QGF-101-50-50,6,0.32,6
49QGF-102-50-50,8,0.34,11
49QGF-103-50-50,7,0.26,10
49QGF-104-50-50,1,0.22,2
49QGF-105-50-50,3,0.34,3
49QGF-106-50-50,5,0.37,6
49QGF-108-50-50,1,0.03,1
49QGF-111-50-50,2,0.08,3
49QGF-112-50-50,3,0.16,5
49QGF-113-50-50,1,0.05,1
49QGF-114-50-50,1,0.06,1
49QGF-115-50-50,2,0.08,2
49QGF-116-50-50,3,0.1,4
49QGF-117-50-50,1,0.11,1
49QGF-118-50-50,5,0.41,6
49QGF-119-50-50,3,0.24,5
49QGF-120-50-50,3,0.31,4
49QGF-121-50-50,7,0.37,9
49QGF-122-50-50,2,0.26,2
49QGF-123-50-50,12,0.43,12
49QGF-124-50-50,4,0.29,7
49QGF-125-50-50,5,0.34,6
49QGF-126-50-50,10,0.44,17
49QGF-127-50-50,1,0.36,1
49QGF-128-50-50,4,0.17,4
49QGF-129-50-50,2,0.3,4
49QGF-130-50-50,3,0.11,4
49QGF-131-50-50,3,0.13,3
49QGF-132-50-50,3,0.3,4
49QGF-133-50-50,6,0.31,6
49QGF-134-50-50,2,0.11,3
49QGF-135-50-50,1,0.24,1
49QGF-136-50-50,1,0.21,1
49QGF-44-51-50,4,0.13,5
49QGF-45-51-50,2,0.09,3
49QGF-47-51-50,1,0.18,1
49QGF-48-51-50,1,0.06,1
49QGF-49-51-50,1,0.06,1
49QGF-53-51-50,3,0.1,4
49QGF-54-51-50,3,0.15,5
49QGF-55-51-50,1,0.06,1
49QGF-58-51-50,1,0.04,2
49QGF-59-51-50,4,0.17,7
49QGF-61-51-50,1,0.09,1
49QGF-62-51-50,2,0.15,4
49QGF-64-51-50,1,0.05,1
49QGF-65-51-50,1,0.06,2
49QGF-66-51-50,1,0.05,1
49QGF-67-51-50,3,0.2,5
49QGF-68-51-50,3,0.23,3
49QGF-69-51-50,3,0.17,3
49QGF-70-51-50,6,0.3,7
49QGF-71-51-50,3,0.19,4
49QGF-72-51-50,3,0.27,5
49QGF-73-51-50,8,0.27,14
49QGF-74-51-50,4,0.18,5
49QGF-75-51-50,1,0.12,1
49QGF-76-51-50,6,0.27,10
49QGF-77-51-50,3,0.12,5
49QGF-78-51-50,6,0.33,10
49QGF-79-51-50,2,0.13,3
49QGF-80-51-50,2,0.16,3
49QGF-81-51-50,4,0.31,5
49QGF-82-51-50,5,0.31,5
49QGF-83-51-50,6,0.3,7
49QGF-84-51-50,8,0.26,11
49QGF-85-51-50,4,0.26,6
49QGF-86-51-50,5,0.32,6
49QGF-87-51-50,3,0.15,5
49QGF-88-51-50,8,0.36,14
49QGF-89-51-50,4,0.13,5
49QGF-90-51-50,1,0.49,1
49QGF-91-51-50,7,0.32,9
49QGF-92-51-50,8,0.43,13
49QGF-93-51-50,1,0.3,1
49QGF-94-51-50,5,0.35,8
49QGF-95-51-50,7,0.42,12
49QGF-96-51-50,2,0.15,2
49QGF-97-51-50,4,0.18,7
49QGF-98-51-50,4,0.12,7
49QGF-99-51-50,4,0.29,5
49QGF-100-51-50,8,0.3,14
49QGF-101-51-50,3,0.14,5
49QGF-102-51-50,3,0.39,4
49QGF-104-51-50,12,0.41,14
49QGF-105-51-50,4,0.25,5
49QGF-106-51-50,7,0.23,10
49QGF-108-51-50,1,0.05,2
49QGF-110-51-50,1,0.04,1
49QGF-111-51-50,1,0.05,1
49QGF-112-51-50,1,0.07,2
49QGF-113-51-50,1,0.05,1
49QGF-115-51-50,1,0.07,2
49QGF-116-51-50,2,0.09,3
49QGF-117-51-50,1,0.04,2
49QGF-118-51-50,1,0.18,1
49QGF-119-51-50,9,0.31,15
49QGF-120-51-50,4,0.42,5
49QGF-121-51-50,13,0.43,15
49QGF-122-51-50,3,0.38,3
49QGF-123-51-50,3,0.15,3
49QGF-124-51-50,3,0.44,4
49QGF-125-51-50,3,0.2,4
49QGF-126-51-50,5,0.44,8
49QGF-127-51-50,3,0.38,3
49QGF-128-51-50,1,0.16,2
49QGF-129-51-50,1,0.1,1
49QGF-130-51-50,3,0.37,5
49QGF-131-51-50,7,0.26,10
49QGF-132-51-50,4,0.22,7
49QGF-133-51-50,4,0.16,6
49QGF-134-51-50,1,0.15,1
49QGF-135-51-50,3,0.11,3
49QGF-136-51-50,3,0.13,4
49QGF-44-52-50,1,0.03,1
49QGF-49-52-50,1,0.02,1
49QGF-50-52-50,1,0.03,1
49QGF-51-52-50,2,0.07,3
49QGF-52-52-50,1,0.02,1
49QGF-53-52-50,1,0.05,1
49QGF-55-52-50,1,0.05,1
49QGF-56-52-50,1,0.07,2
49QGF-60-52-50,1,0.05,2
49QGF-61-52-50,2,0.15,3
49QGF-62-52-50,2,0.08,2
49QGF-63-52-50,3,0.1,3
49QGF-64-52-50,1,0.06,1
49QGF-65-52-50,1,0.15,1
49QGF-67-52-50,1,0.13,1
49QGF-68-52-50,3,0.14,5
49QGF-69-52-50,2,0.22,2
49QGF-70-52-50,5,0.25,7
49QGF-71-52-50,1,0.17,1
49QGF-72-52-50,4,0.32,5
49QGF-73-52-50,5,0.26,6
49QGF-74-52-50,1,0.22,1
49QGF-75-52-50,7,0.25,11
49QGF-76-52-50,5,0.29,6
49QGF-77-52-50,7,0.44,12
49QGF-78-52-50,9,0.38,13
49QGF-79-52-50,5,0.36,6
49QGF-80-52-50,8,0.36,13
49QGF-81-52-50,7,0.31,7
49QGF-82-52-50,2,0.29,3
49QGF-83-52-50,8,0.44,12
49QGF-85-52-50,9,0.38,14
49QGF-87-52-50,9,0.3,10
49QGF-88-52-50,4,0.25,5
49QGF-89-52-50,5,0.29,8
49QGF-90-52-50,2,0.38,2
49QGF-91-52-50,6,0.24,11
49QGF-92-52-50,1,0.16,1
49QGF-93-52-50,1,0.44,1
49QGF-94-52-50,5,0.32,9
49QGF-95-52-50,3,0.26,4
49QGF-96-52-50,7,0.31,9
49QGF-97-52-50,4,0.29,6
49QGF-98-52-50,1,0.27,1
49QGF-99-52-50,7,0.3,12
49QGF-100-52-50,6,0.3,10
49QGF-101-52-50,5,0.35,7
49QGF-102-52-50,1,0.1,1
49QGF-103-52-50,1,0.17,1
49QGF-104-52-50,2,0.34,3
49QGF-105-52-50,3,0.21,5
49QGF-106-52-50,1,0.04,1
49QGF-108-52-50,1,0.05,2
49QGF-113-52-50,1,0.06,1
49QGF-117-52-50,1,0.03,1
49QGF-118-52-50,1,0.1,1
49QGF-119-52-50,2,0.08,3
49QGF-120-52-50,6,0.36,9
49QGF-121-52-50,2,0.28,4
49QGF-122-52-50,2,0.35,2
49QGF-123-52-50,5,0.41,5
49QGF-124-52-50,4,0.27,4
49QGF-125-52-50,3,0.2,5
49QGF-126-52-50,3,0.38,5
49QGF-127-52-50,5,0.39,6
49QGF-128-52-50,1,0.32,2
49QGF-129-52-50,3,0.36,5
49QGF-130-52-50,1,0.17,1
49QGF-131-52-50,2,0.13,2
49QGF-132-52-50,2,0.24,4
49QGF-133-52-50,7,0.28,11
49QGF-134-52-50,3,0.31,3
49QGF-135-52-50,3,0.15,5
49QGF-136-52-50,5,0.26,7
49QGF-43-53-50,1,0.03,1
49QGF-46-53-50,1,0.06,1
49QGF-47-53-50,3,0.15,4
49QGF-48-53-50,4,0.15,7
49QGF-50-53-50,3,0.26,4
49QGF-51-53-50,2,0.29,3
49QGF-52-53-50,1,0.07,1
49QGF-53-53-50,3,0.14,4
49QGF-56-53-50,1,0.13,2
49QGF-57-53-50,1,0.04,2
49QGF-58-53-50,2,0.07,3
49QGF-60-53-50,1,0.14,1
49QGF-61-53-50,2,0.12,3
49QGF-63-53-50,1,0.07,1
49QGF-64-53-50,1,0.03,2
49QGF-65-53-50,1,0.04,1
49QGF-66-53-50,2,0.12,3
49QGF-68-53-50,5,0.19,6
49QGF-69-53-50,2,0.15,2
49QGF-70-53-50,2,0.15,3
49QGF-71-53-50,8,0.31,12
49QGF-72-53-50,8,0.44,10
49QGF-73-53-50,4,0.31,7
49QGF-74-53-50,4,0.25,7
49QGF-75-53-50,1,0.24,1
49QGF-76-53-50,8,0.32,10
49QGF-77-53-50,9,0.29,13
49QGF-78-53-50,11,0.39,12
49QGF-79-53-50,11,0.37,13
49QGF-80-53-50,3,0.46,4
49QGF-81-53-50,6,0.35,10
49QGF-82-53-50,5,0.28,6
49QGF-83-53-50,1,0.24,1
49QGF-84-53-50,6,0.23,7
49QGF-85-53-50,1,0.38,2
49QGF-86-53-50,7,0.35,10
49QGF-87-53-50,5,0.34,7
49QGF-88-53-50,5,0.18,8
49QGF-89-53-50,2,0.23,2
49QGF-90-53-50,5,0.35,5
49QGF-91-53-50,5,0.26,7
49QGF-92-53-50,2,0.15,2
49QGF-93-53-50,5,0.35,8
49QGF-94-53-50,5,0.38,5
49QGF-95-53-50,6,0.21,6
49QGF-96-53-50,7,0.4,9
49QGF-97-53-50,1,0.14,1
49QGF-98-53-50,7,0.27,10
49QGF-99-53-50,6,0.23,8
49QGF-100-53-50,2,0.2,2
49QGF-101-53-50,6,0.42,10
49QGF-102-53-50,2,0.15,3
49QGF-103-53-50,3,0.31,4
49QGF-104-53-50,4,0.25,5
49QGF-105-53-50,8,0.27,12
49QGF-106-53-50,5,0.17,8
49QGF-111-53-50,3,0.09,4
49QGF-114-53-50,1,0.03,2
49QGF-116-53-50,3,0.11,5
49QGF-117-53-50,1,0.08,2
49QGF-119-53-50,10,0.38,13
49QGF-120-53-50,4,0.2,6
49QGF-121-53-50,5,0.27,7
49QGF-122-53-50,1,0.26,2
49QGF-123-53-50,4,0.32,5
49QGF-124-53-50,4,0.13,5
49QGF-125-53-50,1,0.28,1
49QGF-126-53-50,4,0.39,4
49QGF-127-53-50,5,0.36,5
49QGF-128-53-50,3,0.32,4
49QGF-129-53-50,4,0.36,7
49QGF-130-53-50,2,0.23,2
49QGF-131-53-50,3,0.33,4
49QGF-132-53-50,4,0.18,4
49QGF-133-53-50,1,0.42,1
49QGF-134-53-50,4,0.27,5
49QGF-135-53-50,1,0.19,2
49QGF-136-53-50,1,0.26,2
49QGF-44-54-50,1,0.11,1
49QGF-47-54-50,2,0.3,3
49QGF-48-54-50,6,0.29,10
49QGF-49-54-50,6,0.26,9
49QGF-50-54-50,6,0.31,7
49QGF-51-54-50,7,0.26,10
49QGF-52-54-50,5,0.28,6
49QGF-53-54-50,4,0.15,6
49QGF-54-54-50,2,0.27,3
49QGF-55-54-50,1,0.13,1
49QGF-56-54-50,7,0.27,11
49QGF-61-54-50,2,0.06,2
49QGF-62-54-50,1,0.06,1
49QGF-64-54-50,1,0.08,1
49QGF-65-54-50,2,0.17,3
49QGF-67-54-50,1,0.04,2
49QGF-69-54-50,2,0.26,3
49QGF-70-54-50,2,0.32,3
49QGF-71-54-50,2,0.26,2
49QGF-72-54-50,1,0.28,2
49QGF-73-54-50,5,0.25,6
49QGF-74-54-50,5,0.28,7
49QGF-75-54-50,1,0.14,2
49QGF-76-54-50,5,0.33,8
49QGF-77-54-50,6,0.35,9
49QGF-78-54-50,2,0.15,2
49QGF-79-54-50,7,0.37,8
49QGF-80-54-50,3,0.36,5
49QGF-81-54-50,3,0.17,4
49QGF-82-54-50,3,0.35,4
49QGF-83-54-50,3,0.18,4
49QGF-84-54-50,5,0.31,8
49QGF-85-54-50,2,0.21,2
49QGF-86-54-50,5,0.31,7
49QGF-87-54-50,3,0.13,5
49QGF-88-54-50,6,0.25,9
49QGF-89-54-50,1,0.08,1
49QGF-90-54-50,1,0.1,2
49QGF-91-54-50,7,0.3,10
49QGF-92-54-50,4,0.36,4
49QGF-93-54-50,3,0.12,4
49QGF-94-54-50,10,0.4,16
49QGF-95-54-50,9,0.31,11
49QGF-96-54-50,3,0.35,4
49QGF-97-54-50,2,0.29,3
49QGF-98-54-50,2,0.27,4
49QGF-99-54-50,4,0.14,6
49QGF-100-54-50,5,0.19,6
49QGF-102-54-50,2,0.11,3
49QGF-103-54-50,7,0.35,7
49QGF-104-54-50,11,0.41,15
49QGF-105-54-50,2,0.06,3
49QGF-109-54-50,1,0.06,1
49QGF-117-54-50,1,0.04,1
49QGF-119-54-50,1,0.1,1
49QGF-120-54-50,4,0.27,6
49QGF-121-54-50,1,0.1,2
49QGF-122-54-50,8,0.4,10
49QGF-123-54-50,7,0.28,10
49QGF-124-54-50,2,0.37,3
49QGF-125-54-50,8,0.3,9
